,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
93,marshke01,19-Aug-91,2012.0,Kendall Marshall,Point Guard,University of North Carolina,2144722.0,2016.0,2015.0,Philadelphia 76ers,35.90491220000001,-79.04691340000002
94,zellety01,17-Jan-90,2012.0,Tyler Zeller,Center,University of North Carolina,1709538.0,2018.0,2017.0,Milwaukee Bucks,35.90491220000001,-79.04691340000002
95,bartowi01,6-Jan-91,2012.0,Will Barton,Shooting Guard,University of Memphis,3533333.0,2018.0,2017.0,Denver Nuggets,35.1187498,-89.9374928
96,bealbr01,28-Jun-93,2012.0,Bradley Beal,Shooting Guard,University of Florida,23775506.0,2018.0,2017.0,Washington Wizards,29.6436325,-82.3549302
97,murpher01,26-Oct-90,2013.0,Erik Murphy,Center,University of Florida,100000.0,2015.0,2014.0,Boston Celtics,29.6436325,-82.3549302
98,parsoch01,25-Oct-88,2011.0,Chandler Parsons,Small Forward,University of Florida,23112004.0,2018.0,2017.0,Memphis Grizzlies,29.6436325,-82.3549302
99,belljo01,7-Jan-95,2017.0,Jordan Bell,Center,University of Oregon,815615.0,2018.0,2017.0,Golden State Warriors,44.0448302,-123.0726055
100,brookdi01,22-Jan-96,2017.0,Dillon Brooks,Small Forward,University of Oregon,815615.0,2018.0,2017.0,Memphis Grizzlies,44.0448302,-123.0726055
101,dorsety01,18-Feb-96,2017.0,Tyler Dorsey,Shooting Guard,University of Oregon,815615.0,2018.0,2017.0,Atlanta Hawks,44.0448302,-123.0726055
102,bembrde01,4-Jul-94,2016.0,DeAndre' Bembry,Shooting Guard,Saint Joseph's University,1567200.0,2018.0,2017.0,Atlanta Hawks,39.9951217,-75.23993279999998
103,bensoke02,13-Aug-88,2011.0,Keith Benson,Center,Oakland University,75000.0,2017.0,2016.0,Miami Heat,42.6679486,-83.2081632
104,bentibe01,29-Mar-95,2016.0,Ben Bentil,Power Forward,Providence College,31969.0,2017.0,2016.0,Dallas Mavericks,41.8440925,-71.4381653
105,brookma01,26-Jan-89,2011.0,MarShon Brooks,Shooting Guard,Providence College,332477.0,2018.0,2017.0,Memphis Grizzlies,41.8440925,-71.4381653
106,dunnkr01,18-Mar-94,2016.0,Kris Dunn,Point Guard,Providence College,4046760.0,2018.0,2017.0,Chicago Bulls,41.8440925,-71.4381653
107,booketr01,25-Nov-87,2010.0,Trevor Booker,Power Forward,Clemson University,332516.0,2018.0,2017.0,Indiana Pacers,34.673843700000006,-82.83686540000002
108,mcdankj01,9-Feb-93,2014.0,K.J. McDaniels,Small Forward,Clemson University,100000.0,2018.0,2017.0,Toronto Raptors,34.673843700000006,-82.83686540000002
109,brackcr01,9-Oct-87,2010.0,Craig Brackins,Power Forward,Iowa State University,1404960.0,2012.0,2011.0,Philadelphia 76ers,42.0266187,-93.6464654
110,whitero03,10-Apr-91,2012.0,Royce White,Power Forward,Iowa State University,1719480.0,2014.0,2013.0,Philadelphia 76ers,42.0266187,-93.6464654
111,brownja02,24-Oct-96,2016.0,Jaylen Brown,Small Forward,University of California,4956480.0,2018.0,2017.0,Boston Celtics,37.8718992,-122.2585399
112,crabbal01,9-Apr-92,2013.0,Allen Crabbe,Shooting Guard,University of California,19332500.0,2018.0,2017.0,Brooklyn Nets,37.8718992,-122.2585399
113,rabbiv01,4-Feb-97,2017.0,Ivan Rabb,Power Forward,University of California,950000.0,2018.0,2017.0,Memphis Grizzlies,37.8718992,-122.2585399
114,brownst02,10-Feb-95,2017.0,Sterling Brown,Shooting Guard,Southern Methodist University,815615.0,2018.0,2017.0,Milwaukee Bucks,32.8412178,-96.7845175
115,ojelese01,5-Dec-94,2017.0,Semi Ojeleye,Power Forward,Southern Methodist University,1291892.0,2018.0,2017.0,Boston Celtics,32.8412178,-96.7845175
116,burketr01,12-Nov-92,2013.0,Trey Burke,Point Guard,University of Michigan,784160.0,2018.0,2017.0,New York Knicks,42.2780436,-83.7382241
117,hardati02,16-Mar-92,2013.0,Tim Hardaway Jr.,Shooting Guard,University of Michigan,16500000.0,2018.0,2017.0,New York Knicks,42.2780436,-83.7382241
118,leverca01,25-Aug-94,2016.0,Caris LeVert,Small Forward,University of Michigan,1632480.0,2018.0,2017.0,Brooklyn Nets,42.2780436,-83.7382241
119,mcgarmi01,6-Jun-92,2014.0,Mitch McGary,Power Forward,University of Michigan,1526040.0,2017.0,2016.0,Oklahoma City Thunder,42.2780436,-83.7382241
120,morrida01,3-Jan-91,2011.0,Darius Morris,Point Guard,University of Michigan,702756.0,2015.0,2014.0,Brooklyn Nets,42.2780436,-83.7382241
121,robingl02,8-Jan-94,2014.0,Glenn Robinson III,Shooting Guard,University of Michigan,1524305.0,2018.0,2017.0,Indiana Pacers,42.2780436,-83.7382241
122,stausni01,7-Oct-93,2014.0,Nik Stauskas,Shooting Guard,University of Michigan,3807147.0,2018.0,2017.0,Brooklyn Nets,42.2780436,-83.7382241
123,wilsodj01,19-Feb-96,2017.0,D.J. Wilson,Power Forward,University of Michigan,2135040.0,2018.0,2017.0,Milwaukee Bucks,42.2780436,-83.7382241
124,burksal01,20-Jul-91,2011.0,Alec Burks,Shooting Guard,University of Colorado,10845506.0,2018.0,2017.0,Utah Jazz,40.00758099999999,-105.2659417
125,dinwisp01,6-Apr-93,2014.0,Spencer Dinwiddie,Point Guard,University of Colorado,1524305.0,2018.0,2017.0,Brooklyn Nets,40.00758099999999,-105.2659417
126,roberan03,4-Dec-91,2013.0,Andre Roberson,Shooting Guard,University of Colorado,9259259.0,2018.0,2017.0,Oklahoma City Thunder,40.00758099999999,-105.2659417
127,whitede01,2-Jul-94,2017.0,Derrick White,Point Guard,University of Colorado,1404600.0,2018.0,2017.0,San Antonio Spurs,40.00758099999999,-105.2659417
128,butleji01,14-Sep-89,2011.0,Jimmy Butler,Shooting Guard,Marquette University,19301070.0,2018.0,2017.0,Minnesota Timberwolves,43.03883370000001,-87.92856669999998
129,crowdja01,6-Jul-90,2012.0,Jae Crowder,Small Forward,Marquette University,6796117.0,2018.0,2017.0,Utah Jazz,43.03883370000001,-87.92856669999998
130,ellenhe01,13-Jan-97,2016.0,Henry Ellenson,Power Forward,Marquette University,1780800.0,2018.0,2017.0,Detroit Pistons,43.03883370000001,-87.92856669999998
131,haywala01,26-Nov-86,2010.0,Lazar Hayward,Small Forward,Marquette University,80413.0,2013.0,2012.0,Minnesota Timberwolves,43.03883370000001,-87.92856669999998
132,johnsda03,28-Sep-89,2012.0,Darius Johnson-Odom,Shooting Guard,Marquette University,192228.0,2013.0,2012.0,Los Angeles Lakers,43.03883370000001,-87.92856669999998
133,caldwke01,18-Feb-93,2013.0,Kentavious Caldwell-Pope,Shooting Guard,University of Georgia,17745894.0,2018.0,2017.0,Los Angeles Lakers,33.9480053,-83.37732209999999
134,leslitr01,29-Mar-90,2011.0,Travis Leslie,Shooting Guard,University of Georgia,250000.0,2013.0,2012.0,Los Angeles Clippers,33.9480053,-83.37732209999999
135,thomptr02,20-May-90,2011.0,Trey Thompkins,Center,University of Georgia,762195.0,2013.0,2012.0,Los Angeles Clippers,33.9480053,-83.37732209999999
136,canaais01,21-May-91,2013.0,Isaiah Canaan,Shooting Guard,Murray State University,53465.0,2018.0,2017.0,Houston Rockets,36.6163842,-88.32149790000003
137,payneca01,8-Aug-94,2015.0,Cameron Payne,Point Guard,Murray State University,2203440.0,2018.0,2017.0,Chicago Bulls,36.6163842,-88.32149790000003
138,cartemi01,10-Oct-91,2013.0,Michael Carter-Williams,Point Guard,Syracuse University,2700000.0,2018.0,2017.0,Charlotte Hornets,43.0391534,-76.1351158
139,chrisra01,1-Dec-91,2015.0,Rakeem Christmas,Power Forward,Syracuse University,172552.0,2018.0,2017.0,Indiana Pacers,43.0391534,-76.1351158
140,ennisty01,24-Aug-94,2014.0,Tyler Ennis,Point Guard,Syracuse University,1524305.0,2018.0,2017.0,Los Angeles Lakers,43.0391534,-76.1351158
141,grantje01,12-Mar-94,2014.0,Jerami Grant,Small Forward,Syracuse University,1524305.0,2018.0,2017.0,Oklahoma City Thunder,43.0391534,-76.1351158
142,josepkr01,17-Dec-88,2012.0,Kris Joseph,Small Forward,Syracuse University,189442.0,2013.0,2012.0,Boston Celtics,43.0391534,-76.1351158
143,lydonty01,9-Apr-96,2017.0,Tyler Lydon,Power Forward,Syracuse University,1579440.0,2018.0,2017.0,Denver Nuggets,43.0391534,-76.1351158
144,mcculch01,5-Feb-95,2015.0,Chris McCullough,Power Forward,Syracuse University,1471382.0,2018.0,2017.0,Washington Wizards,43.0391534,-76.1351158
145,melofa01,20-Jun-90,2012.0,Fab Melo,Center,Syracuse University,437080.0,2015.0,2014.0,Memphis Grizzlies,43.0391534,-76.1351158
146,rautian01,2-Nov-86,2010.0,Andy Rautins,Shooting Guard,Syracuse University,788872.0,2012.0,2011.0,Dallas Mavericks,43.0391534,-76.1351158
147,richama01,5-Jan-96,2016.0,Malachi Richardson,Shooting Guard,Syracuse University,1504560.0,2018.0,2017.0,Toronto Raptors,43.0391534,-76.1351158
148,waitedi01,10-Dec-91,2012.0,Dion Waiters,Shooting Guard,Syracuse University,11000000.0,2018.0,2017.0,Miami Heat,43.0391534,-76.1351158
149,chrisma01,2-Jul-97,2016.0,Marquese Chriss,Power Forward,University of Washington,3073800.0,2018.0,2017.0,Phoenix Suns,47.6912794,-122.3176141
150,fultzma01,29-May-98,2017.0,Markelle Fultz,Shooting Guard,University of Washington,7026240.0,2018.0,2017.0,Philadelphia 76ers,47.6912794,-122.3176141
151,murrade01,19-Sep-96,2016.0,Dejounte Murray,Point Guard,University of Washington,1312611.0,2018.0,2017.0,San Antonio Spurs,47.6912794,-122.3176141
152,pondequ01,10-Mar-88,2010.0,Quincy Pondexter,Small Forward,University of Washington,3853931.0,2018.0,2017.0,Chicago Bulls,47.6912794,-122.3176141
153,rosste01,5-Feb-91,2012.0,Terrence Ross,Small Forward,University of Washington,10500000.0,2018.0,2017.0,Orlando Magic,47.6912794,-122.3176141
154,thomais02,7-Feb-89,2011.0,Isaiah Thomas,Point Guard,University of Washington,6261395.0,2018.0,2017.0,Los Angeles Lakers,47.6912794,-122.3176141
155,wroteto01,13-Apr-93,2012.0,Tony Wroten,Shooting Guard,University of Washington,25000.0,2017.0,2016.0,Memphis Grizzlies,47.6912794,-122.3176141
