,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team
10286,poweldw01,20-Jul-91,2014,Dwight Powell,Power Forward and Center,Stanford University,9003125,2018,2017,Dallas Mavericks
10293,powelno01,25-May-93,2015,Norman Powell,Shooting Guard,"University of California, Los Angeles",650000,2016,2015,Toronto Raptors
10294,powelno01,25-May-93,2015,Norman Powell,Shooting Guard,"University of California, Los Angeles",874636,2017,2016,Toronto Raptors
10295,powelno01,25-May-93,2015,Norman Powell,Shooting Guard,"University of California, Los Angeles",1471382,2018,2017,Toronto Raptors
10407,rabbiv01,4-Feb-97,2017,Ivan Rabb,Power Forward,University of California,950000,2018,2017,Memphis Grizzlies
10455,randlju01,29-Nov-94,2014,Julius Randle,Power Forward and Center,University of Kentucky,2997360,2015,2014,Los Angeles Lakers
10456,randlju01,29-Nov-94,2014,Julius Randle,Power Forward and Center,University of Kentucky,3132240,2016,2015,Los Angeles Lakers
10457,randlju01,29-Nov-94,2014,Julius Randle,Power Forward and Center,University of Kentucky,3267120,2017,2016,Los Angeles Lakers
10458,randlju01,29-Nov-94,2014,Julius Randle,Power Forward and Center,University of Kentucky,4149242,2018,2017,Los Angeles Lakers
10517,rautian01,2-Nov-86,2010,Andy Rautins,Shooting Guard,Syracuse University,600000,2011,2010,New York Knicks
10518,rautian01,2-Nov-86,2010,Andy Rautins,Shooting Guard,Syracuse University,788872,2012,2011,Dallas Mavericks
10556,reedda01,11-Jun-95,2017,Davon Reed,Shooting Guard,University of Miami,815615,2018,2017,Phoenix Suns
10605,reidry01,30-Oct-86,2010,Ryan Reid,Power Forward,Florida State University,475000,2012,2011,Oklahoma City Thunder
10645,ricegl02,1-Jan-91,2013,Glen Rice Jr.,Shooting Guard,Georgia Institute of Technology,400000,2015,2014,Washington Wizards
10670,richajo01,15-Sep-93,2015,Josh Richardson,Shooting Guard and Small Forward,University of Tennessee,525093,2016,2015,Miami Heat
10671,richajo01,15-Sep-93,2015,Josh Richardson,Shooting Guard and Small Forward,University of Tennessee,874636,2017,2016,Miami Heat
10672,richajo01,15-Sep-93,2015,Josh Richardson,Shooting Guard and Small Forward,University of Tennessee,1471382,2018,2017,Miami Heat
10673,richama01,5-Jan-96,2016,Malachi Richardson,Shooting Guard,Syracuse University,1439880,2017,2016,Sacramento Kings
10674,richama01,5-Jan-96,2016,Malachi Richardson,Shooting Guard,Syracuse University,1504560,2018,2017,Toronto Raptors
10745,riverau01,1-Aug-92,2012,Austin Rivers,Point Guard and Shooting Guard,Duke University,2238360,2013,2012,New Orleans Hornets
10746,riverau01,1-Aug-92,2012,Austin Rivers,Point Guard and Shooting Guard,Duke University,2339040,2014,2013,New Orleans Pelicans
10747,riverau01,1-Aug-92,2012,Austin Rivers,Point Guard and Shooting Guard,Duke University,2439840,2015,2014,Los Angeles Clippers
10748,riverau01,1-Aug-92,2012,Austin Rivers,Point Guard and Shooting Guard,Duke University,3100000,2016,2015,Los Angeles Clippers
10749,riverau01,1-Aug-92,2012,Austin Rivers,Point Guard and Shooting Guard,Duke University,11000000,2017,2016,Los Angeles Clippers
10750,riverau01,1-Aug-92,2012,Austin Rivers,Point Guard and Shooting Guard,Duke University,11825000,2018,2017,Los Angeles Clippers
10764,roberan03,4-Dec-91,2013,Andre Roberson,Shooting Guard and Small Forward,University of Colorado,1110840,2014,2013,Oklahoma City Thunder
10765,roberan03,4-Dec-91,2013,Andre Roberson,Shooting Guard and Small Forward,University of Colorado,1160880,2015,2014,Oklahoma City Thunder
10766,roberan03,4-Dec-91,2013,Andre Roberson,Shooting Guard and Small Forward,University of Colorado,1210800,2016,2015,Oklahoma City Thunder
10767,roberan03,4-Dec-91,2013,Andre Roberson,Shooting Guard and Small Forward,University of Colorado,2183072,2017,2016,Oklahoma City Thunder
10768,roberan03,4-Dec-91,2013,Andre Roberson,Shooting Guard and Small Forward,University of Colorado,9259259,2018,2017,Oklahoma City Thunder
10873,robingl02,8-Jan-94,2014,Glenn Robinson III,Shooting Guard and Small Forward,University of Michigan,507336,2015,2014,Philadelphia 76ers
10874,robingl02,8-Jan-94,2014,Glenn Robinson III,Shooting Guard and Small Forward,University of Michigan,845000,2016,2015,Indiana Pacers
10875,robingl02,8-Jan-94,2014,Glenn Robinson III,Shooting Guard and Small Forward,University of Michigan,1050500,2017,2016,Indiana Pacers
10876,robingl02,8-Jan-94,2014,Glenn Robinson III,Shooting Guard and Small Forward,University of Michigan,1524305,2018,2017,Indiana Pacers
10910,robinth01,17-Mar-91,2012,Thomas Robinson,Power Forward,University of Kansas,3374640,2013,2012,Houston Rockets
10911,robinth01,17-Mar-91,2012,Thomas Robinson,Power Forward,University of Kansas,3526440,2014,2013,Portland Trail Blazers
10912,robinth01,17-Mar-91,2012,Thomas Robinson,Power Forward,University of Kansas,3678360,2015,2014,Philadelphia 76ers
10913,robinth01,17-Mar-91,2012,Thomas Robinson,Power Forward,University of Kansas,981300,2016,2015,Brooklyn Nets
10914,robinth01,17-Mar-91,2012,Thomas Robinson,Power Forward,University of Kansas,1050961,2017,2016,Los Angeles Lakers
11042,rosste01,5-Feb-91,2012,Terrence Ross,Small Forward and Shooting Guard,University of Washington,2563320,2013,2012,Toronto Raptors
11043,rosste01,5-Feb-91,2012,Terrence Ross,Small Forward and Shooting Guard,University of Washington,2678640,2014,2013,Toronto Raptors
11044,rosste01,5-Feb-91,2012,Terrence Ross,Small Forward and Shooting Guard,University of Washington,2793960,2015,2014,Toronto Raptors
11045,rosste01,5-Feb-91,2012,Terrence Ross,Small Forward and Shooting Guard,University of Washington,3553917,2016,2015,Toronto Raptors
11046,rosste01,5-Feb-91,2012,Terrence Ross,Small Forward and Shooting Guard,University of Washington,10000000,2017,2016,Orlando Magic
11047,rosste01,5-Feb-91,2012,Terrence Ross,Small Forward and Shooting Guard,University of Washington,10500000,2018,2017,Orlando Magic
11072,roziete01,17-Mar-94,2015,Terry Rozier,Point Guard,University of Louisville,1824360,2016,2015,Boston Celtics
11073,roziete01,17-Mar-94,2015,Terry Rozier,Point Guard,University of Louisville,1906440,2017,2016,Boston Celtics
11074,roziete01,17-Mar-94,2015,Terry Rozier,Point Guard,University of Louisville,1988520,2018,2017,Boston Celtics
11134,russeda01,23-Feb-96,2015,D'Angelo Russell,Point Guard,Ohio State University,5103120,2016,2015,Los Angeles Lakers
11135,russeda01,23-Feb-96,2015,D'Angelo Russell,Point Guard,Ohio State University,5332800,2017,2016,Los Angeles Lakers
11136,russeda01,23-Feb-96,2015,D'Angelo Russell,Point Guard,Ohio State University,5562360,2018,2017,Brooklyn Nets
11146,sabondo01,3-May-96,2016,Domantas Sabonis,Center and Power Forward,Gonzaga University,2440200,2017,2016,Oklahoma City Thunder
11147,sabondo01,3-May-96,2016,Domantas Sabonis,Center and Power Forward,Gonzaga University,2550000,2018,2017,Indiana Pacers
11148,sacrero01,6-Jun-89,2012,Robert Sacre,Center,Gonzaga University,473604,2013,2012,Los Angeles Lakers
11149,sacrero01,6-Jun-89,2012,Robert Sacre,Center,Gonzaga University,788872,2014,2013,Los Angeles Lakers
11150,sacrero01,6-Jun-89,2012,Robert Sacre,Center,Gonzaga University,915243,2015,2014,Los Angeles Lakers
11151,sacrero01,6-Jun-89,2012,Robert Sacre,Center,Gonzaga University,981348,2016,2015,Los Angeles Lakers
11206,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,1731960,2011,2010,Milwaukee Bucks
11207,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,1861920,2012,2011,Milwaukee Bucks
11208,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,1991760,2013,2012,Milwaukee Bucks
11209,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,3053368,2014,2013,Milwaukee Bucks
11210,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,11000000,2015,2014,Milwaukee Bucks
11211,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,1865547,2016,2015,Milwaukee Bucks
11212,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,1865547,2017,2016,Milwaukee Bucks
11213,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,207722,2017,2016,Cleveland Cavaliers
11214,sandela01,21-Nov-88,2010,Larry Sanders,Power Forward and Center,Virginia Commonwealth University,1865547,2018,2017,Milwaukee Bucks
11346,scottmi01,16-Jul-88,2012,Mike Scott,Power Forward,University of Virginia,473604,2013,2012,Atlanta Hawks
11347,scottmi01,16-Jul-88,2012,Mike Scott,Power Forward,University of Virginia,788872,2014,2013,Atlanta Hawks
11348,scottmi01,16-Jul-88,2012,Mike Scott,Power Forward,University of Virginia,3333333,2015,2014,Atlanta Hawks
11349,scottmi01,16-Jul-88,2012,Mike Scott,Power Forward,University of Virginia,3333333,2016,2015,Atlanta Hawks
11350,scottmi01,16-Jul-88,2012,Mike Scott,Power Forward,University of Virginia,3333334,2017,2016,Phoenix Suns
11351,scottmi01,16-Jul-88,2012,Mike Scott,Power Forward,University of Virginia,1471382,2018,2017,Washington Wizards
11389,selbyjo01,27-Mar-91,2011,Josh Selby,Point Guard,University of Kansas,550000,2012,2011,Memphis Grizzlies
11390,selbyjo01,27-Mar-91,2011,Josh Selby,Point Guard,University of Kansas,762195,2013,2012,Cleveland Cavaliers
11468,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,1563120,2012,2011,New York Knicks
11469,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,1680360,2013,2012,New York Knicks
11470,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,1703760,2014,2013,New York Knicks
11471,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,2616975,2015,2014,Cleveland Cavaliers
11472,shumpim01,26-Jun-90,2011,Iman Shumpert,Shooting Guard and Point Guard,Georgia Institute of Technology,9000000,2016,2015,Cleveland Cavaliers
