,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,league,player_id,salary,season,season_end,season_start,team
1877,burketr01,12-Nov-92,"Columbus, Ohio",3.6,40.8,34,80,361,14,10.9,2.1,10.2,46.8,University of Michigan,9th overall,1st round,Minnesota Timberwolves,2013,1-Jun,"Northland in Columbus, Ohio",Trey Burke,Point Guard,Right,175lb,NBA,burketr01,2658240,2015-16,2016,2015,Utah Jazz
1878,burketr01,12-Nov-92,"Columbus, Ohio",3.6,40.8,34,80,361,14,10.9,2.1,10.2,46.8,University of Michigan,9th overall,1st round,Minnesota Timberwolves,2013,1-Jun,"Northland in Columbus, Ohio",Trey Burke,Point Guard,Right,175lb,NBA,burketr01,3386598,2016-17,2017,2016,Washington Wizards
1879,burketr01,12-Nov-92,"Columbus, Ohio",3.6,40.8,34,80,361,14,10.9,2.1,10.2,46.8,University of Michigan,9th overall,1st round,Minnesota Timberwolves,2013,1-Jun,"Northland in Columbus, Ohio",Trey Burke,Point Guard,Right,175lb,NBA,burketr01,784160,2017-18,2018,2017,New York Knicks
1880,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,2020200,2011-12,2012,2011,Utah Jazz
1881,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,2171640,2012-13,2013,2012,Utah Jazz
1882,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,2202000,2013-14,2014,2013,Utah Jazz
1883,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,3034356,2014-15,2015,2014,Utah Jazz
1884,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,9213484,2015-16,2016,2015,Utah Jazz
1885,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,10154495,2016-17,2017,2016,Utah Jazz
1886,burksal01,20-Jul-91,"Grandview, Missouri",1.7,42.3,35.5,77.1,429,13.6,9.5,3,13,46.6,University of Colorado,12th overall,1st round,Utah Jazz,2011,6-Jun,"Grandview in Grandview, Missouri",Alec Burks,Shooting Guard,Right,214lb,NBA,burksal01,10845506,2017-18,2018,2017,Utah Jazz
1930,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,1020960,2011-12,2012,2011,Chicago Bulls
1931,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,1097520,2012-13,2013,2012,Chicago Bulls
1932,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,1112880,2013-14,2014,2013,Chicago Bulls
1933,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,2008748,2014-15,2015,2014,Chicago Bulls
1934,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,15260000,2015-16,2016,2015,Chicago Bulls
1935,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,17552209,2016-17,2017,2016,Chicago Bulls
1936,butleji01,14-Sep-89,"Houston, Texas",3.5,45.4,34.1,83.5,523,20,16.7,4.9,66.1,49.1,Marquette University,30th overall,1st round,Chicago Bulls,2011,8-Jun,"Tomball in Tomball, Texas",Jimmy Butler,Shooting Guard and Small Forward,Right,232lb,NBA,butleji01,19301070,2017-18,2018,2017,Minnesota Timberwolves
2029,caldwke01,18-Feb-93,"Thomaston, Georgia",1.6,41.2,34.5,79.9,470,12.1,11.9,3.3,23.8,49.3,University of Georgia,8th overall,1st round,Detroit Pistons,2013,5-Jun,"Greenville in Greenville, Georgia",Kentavious Caldwell-Pope,Shooting Guard,Right,205lb,NBA,caldwke01,2653080,2013-14,2014,2013,Detroit Pistons
2030,caldwke01,18-Feb-93,"Thomaston, Georgia",1.6,41.2,34.5,79.9,470,12.1,11.9,3.3,23.8,49.3,University of Georgia,8th overall,1st round,Detroit Pistons,2013,5-Jun,"Greenville in Greenville, Georgia",Kentavious Caldwell-Pope,Shooting Guard,Right,205lb,NBA,caldwke01,2772480,2014-15,2015,2014,Detroit Pistons
2031,caldwke01,18-Feb-93,"Thomaston, Georgia",1.6,41.2,34.5,79.9,470,12.1,11.9,3.3,23.8,49.3,University of Georgia,8th overall,1st round,Detroit Pistons,2013,5-Jun,"Greenville in Greenville, Georgia",Kentavious Caldwell-Pope,Shooting Guard,Right,205lb,NBA,caldwke01,2891760,2015-16,2016,2015,Detroit Pistons
2032,caldwke01,18-Feb-93,"Thomaston, Georgia",1.6,41.2,34.5,79.9,470,12.1,11.9,3.3,23.8,49.3,University of Georgia,8th overall,1st round,Detroit Pistons,2013,5-Jun,"Greenville in Greenville, Georgia",Kentavious Caldwell-Pope,Shooting Guard,Right,205lb,NBA,caldwke01,3678319,2016-17,2017,2016,Detroit Pistons
2033,caldwke01,18-Feb-93,"Thomaston, Georgia",1.6,41.2,34.5,79.9,470,12.1,11.9,3.3,23.8,49.3,University of Georgia,8th overall,1st round,Detroit Pistons,2013,5-Jun,"Greenville in Greenville, Georgia",Kentavious Caldwell-Pope,Shooting Guard,Right,205lb,NBA,caldwke01,17745894,2017-18,2018,2017,Los Angeles Lakers
2080,canaais01,21-May-91,"Biloxi, Mississippi",1.9,37.1,35.1,83.6,235,10.7,8.1,1.9,4.3,48.1,Murray State University,34th overall,2nd round,Houston Rockets,2013,Jun-00,"Biloxi in Biloxi, Mississippi",Isaiah Canaan,Shooting Guard and Point Guard,Right,201lb,NBA,canaais01,816482,2014-15,2015,2014,Philadelphia 76ers
2081,canaais01,21-May-91,"Biloxi, Mississippi",1.9,37.1,35.1,83.6,235,10.7,8.1,1.9,4.3,48.1,Murray State University,34th overall,2nd round,Houston Rockets,2013,Jun-00,"Biloxi in Biloxi, Mississippi",Isaiah Canaan,Shooting Guard and Point Guard,Right,201lb,NBA,canaais01,947276,2015-16,2016,2015,Philadelphia 76ers
2082,canaais01,21-May-91,"Biloxi, Mississippi",1.9,37.1,35.1,83.6,235,10.7,8.1,1.9,4.3,48.1,Murray State University,34th overall,2nd round,Houston Rockets,2013,Jun-00,"Biloxi in Biloxi, Mississippi",Isaiah Canaan,Shooting Guard and Point Guard,Right,201lb,NBA,canaais01,1015696,2016-17,2017,2016,Chicago Bulls
2083,canaais01,21-May-91,"Biloxi, Mississippi",1.9,37.1,35.1,83.6,235,10.7,8.1,1.9,4.3,48.1,Murray State University,34th overall,2nd round,Houston Rockets,2013,Jun-00,"Biloxi in Biloxi, Mississippi",Isaiah Canaan,Shooting Guard and Point Guard,Right,201lb,NBA,canaais01,997547,2017-18,2018,2017,Phoenix Suns
2084,canaais01,21-May-91,"Biloxi, Mississippi",1.9,37.1,35.1,83.6,235,10.7,8.1,1.9,4.3,48.1,Murray State University,34th overall,2nd round,Houston Rockets,2013,Jun-00,"Biloxi in Biloxi, Mississippi",Isaiah Canaan,Shooting Guard and Point Guard,Right,201lb,NBA,canaais01,200000,2017-18,2018,2017,Chicago Bulls
2085,canaais01,21-May-91,"Biloxi, Mississippi",1.9,37.1,35.1,83.6,235,10.7,8.1,1.9,4.3,48.1,Murray State University,34th overall,2nd round,Houston Rockets,2013,Jun-00,"Biloxi in Biloxi, Mississippi",Isaiah Canaan,Shooting Guard and Point Guard,Right,201lb,NBA,canaais01,53465,2017-18,2018,2017,Houston Rockets
2090,caracde01,4-May-88,"Fanwood, New Jersey",0.2,48.5,-,73.9,41,10,2,1,0.3,48.5,"University of Louisville, University of Texas at El Paso",58th overall,2nd round,Los Angeles Lakers,2010,9-Jun,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Derrick Caracter,Center,Right,275lb,NBA,caracde01,473604,2010-11,2011,2010,Los Angeles Lakers
2091,caracde01,4-May-88,"Fanwood, New Jersey",0.2,48.5,-,73.9,41,10,2,1,0.3,48.5,"University of Louisville, University of Texas at El Paso",58th overall,2nd round,Los Angeles Lakers,2010,9-Jun,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Derrick Caracter,Center,Right,275lb,NBA,caracde01,270427,2011-12,2012,2011,Los Angeles Lakers
2195,cartemi01,10-Oct-91,"Hamilton, Massachusetts",4.6,40.1,25.1,70.2,315,13.7,10.9,4.5,5.2,42.3,Syracuse University,11th overall,1st round,Philadelphia 76ers,2013,6-Jun,"St. Andrew's School in Barrington, Rhode Island",Michael Carter-Williams,Point Guard,Right,190lb,NBA,cartemi01,2200920,2013-14,2014,2013,Philadelphia 76ers
2196,cartemi01,10-Oct-91,"Hamilton, Massachusetts",4.6,40.1,25.1,70.2,315,13.7,10.9,4.5,5.2,42.3,Syracuse University,11th overall,1st round,Philadelphia 76ers,2013,6-Jun,"St. Andrew's School in Barrington, Rhode Island",Michael Carter-Williams,Point Guard,Right,190lb,NBA,cartemi01,2300040,2014-15,2015,2014,Milwaukee Bucks
2197,cartemi01,10-Oct-91,"Hamilton, Massachusetts",4.6,40.1,25.1,70.2,315,13.7,10.9,4.5,5.2,42.3,Syracuse University,11th overall,1st round,Philadelphia 76ers,2013,6-Jun,"St. Andrew's School in Barrington, Rhode Island",Michael Carter-Williams,Point Guard,Right,190lb,NBA,cartemi01,2399040,2015-16,2016,2015,Milwaukee Bucks
2198,cartemi01,10-Oct-91,"Hamilton, Massachusetts",4.6,40.1,25.1,70.2,315,13.7,10.9,4.5,5.2,42.3,Syracuse University,11th overall,1st round,Philadelphia 76ers,2013,6-Jun,"St. Andrew's School in Barrington, Rhode Island",Michael Carter-Williams,Point Guard,Right,190lb,NBA,cartemi01,3183526,2016-17,2017,2016,Chicago Bulls
2199,cartemi01,10-Oct-91,"Hamilton, Massachusetts",4.6,40.1,25.1,70.2,315,13.7,10.9,4.5,5.2,42.3,Syracuse University,11th overall,1st round,Philadelphia 76ers,2013,6-Jun,"St. Andrew's School in Barrington, Rhode Island",Michael Carter-Williams,Point Guard,Right,190lb,NBA,cartemi01,2700000,2017-18,2018,2017,Charlotte Hornets
2257,caulewi01,18-Aug-93,"Spearville, Kansas",1.6,53.4,22.2,61.1,295,17,10.1,6.4,17.4,53.5,University of Kentucky,6th overall,1st round,Sacramento Kings,2015,Jul-00,"Olathe Northwest in Olathe, Kansas",Willie Cauley-Stein,Center,Right,240lb,NBA,caulewi01,3398280,2015-16,2016,2015,Sacramento Kings
2258,caulewi01,18-Aug-93,"Spearville, Kansas",1.6,53.4,22.2,61.1,295,17,10.1,6.4,17.4,53.5,University of Kentucky,6th overall,1st round,Sacramento Kings,2015,Jul-00,"Olathe Northwest in Olathe, Kansas",Willie Cauley-Stein,Center,Right,240lb,NBA,caulewi01,3551160,2016-17,2017,2016,Sacramento Kings
2259,caulewi01,18-Aug-93,"Spearville, Kansas",1.6,53.4,22.2,61.1,295,17,10.1,6.4,17.4,53.5,University of Kentucky,6th overall,1st round,Sacramento Kings,2015,Jul-00,"Olathe Northwest in Olathe, Kansas",Willie Cauley-Stein,Center,Right,240lb,NBA,caulewi01,3704160,2017-18,2018,2017,Sacramento Kings
2404,chrisma01,2-Jul-97,"Sacramento, California",0.8,42.9,29.6,62.8,197,11.4,7.6,4.5,2.3,48.5,University of Washington,8th overall,1st round,Sacramento Kings,2016,10-Jun,"Pleasant Grove in Elk Grove, California",Marquese Chriss,Power Forward,Right,240lb,NBA,chrisma01,2941440,2016-17,2017,2016,Phoenix Suns
2405,chrisma01,2-Jul-97,"Sacramento, California",0.8,42.9,29.6,62.8,197,11.4,7.6,4.5,2.3,48.5,University of Washington,8th overall,1st round,Sacramento Kings,2016,10-Jun,"Pleasant Grove in Elk Grove, California",Marquese Chriss,Power Forward,Right,240lb,NBA,chrisma01,3073800,2017-18,2018,2017,Phoenix Suns
2422,chrisra01,1-Dec-91,"Irvington, New Jersey",0.1,46.7,-,72.4,30,11,2.1,1.9,0.5,46.7,Syracuse University,36th overall,2nd round,Minnesota Timberwolves,2015,9-Jun,"Academy of the New Church in Bryn Athyn, Pennsylvania",Rakeem Christmas,Power Forward,Right,250lb,NBA,chrisra01,1000000,2015-16,2016,2015,Indiana Pacers
2423,chrisra01,1-Dec-91,"Irvington, New Jersey",0.1,46.7,-,72.4,30,11,2.1,1.9,0.5,46.7,Syracuse University,36th overall,2nd round,Minnesota Timberwolves,2015,9-Jun,"Academy of the New Church in Bryn Athyn, Pennsylvania",Rakeem Christmas,Power Forward,Right,250lb,NBA,chrisra01,1052342,2016-17,2017,2016,Indiana Pacers
2424,chrisra01,1-Dec-91,"Irvington, New Jersey",0.1,46.7,-,72.4,30,11,2.1,1.9,0.5,46.7,Syracuse University,36th overall,2nd round,Minnesota Timberwolves,2015,9-Jun,"Academy of the New Church in Bryn Athyn, Pennsylvania",Rakeem Christmas,Power Forward,Right,250lb,NBA,chrisra01,172552,2017-18,2018,2017,Indiana Pacers
2425,chrisse01,1-Nov-92,"Cincinnati, Ohio",2,34.5,19,54.8,64,5.7,2.9,1.4,0.1,37.2,Xavier University,55th overall,2nd round,Miami Heat,2014,3-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Semaj Christon,Point Guard,Right,190lb,NBA,chrisse01,543471,2016-17,2017,2016,Oklahoma City Thunder
2444,clarkjo01,7-Jun-92,"Tampa, Florida",2.7,44.5,33.5,81.5,382,15.3,14.7,3.2,10.5,49.8,"University of Tulsa, University of Missouri",46th overall,2nd round,Washington Wizards,2014,5-Jun,"Wagner in San Antonio, Texas",Jordan Clarkson,Shooting Guard and Point Guard,Right,194lb,NBA,clarkjo01,507336,2014-15,2015,2014,Los Angeles Lakers
2445,clarkjo01,7-Jun-92,"Tampa, Florida",2.7,44.5,33.5,81.5,382,15.3,14.7,3.2,10.5,49.8,"University of Tulsa, University of Missouri",46th overall,2nd round,Washington Wizards,2014,5-Jun,"Wagner in San Antonio, Texas",Jordan Clarkson,Shooting Guard and Point Guard,Right,194lb,NBA,clarkjo01,845059,2015-16,2016,2015,Los Angeles Lakers
2446,clarkjo01,7-Jun-92,"Tampa, Florida",2.7,44.5,33.5,81.5,382,15.3,14.7,3.2,10.5,49.8,"University of Tulsa, University of Missouri",46th overall,2nd round,Washington Wizards,2014,5-Jun,"Wagner in San Antonio, Texas",Jordan Clarkson,Shooting Guard and Point Guard,Right,194lb,NBA,clarkjo01,12500000,2016-17,2017,2016,Los Angeles Lakers
2447,clarkjo01,7-Jun-92,"Tampa, Florida",2.7,44.5,33.5,81.5,382,15.3,14.7,3.2,10.5,49.8,"University of Tulsa, University of Missouri",46th overall,2nd round,Washington Wizards,2014,5-Jun,"Wagner in San Antonio, Texas",Jordan Clarkson,Shooting Guard and Point Guard,Right,194lb,NBA,clarkjo01,11562500,2017-18,2018,2017,Cleveland Cavaliers
2475,coleno01,13-Oct-88,"Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7,2,3,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,2-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,NBA,coleno01,1035960,2011-12,2012,2011,Miami Heat
2476,coleno01,13-Oct-88,"Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7,2,3,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,2-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,NBA,coleno01,1082520,2012-13,2013,2012,Miami Heat
2477,coleno01,13-Oct-88,"Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7,2,3,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,2-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,NBA,coleno01,1129200,2013-14,2014,2013,Miami Heat
2478,coleno01,13-Oct-88,"Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7,2,3,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,2-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,NBA,coleno01,2038206,2014-15,2015,2014,New Orleans Pelicans
2479,coleno01,13-Oct-88,"Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7,2,3,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,2-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,NBA,coleno01,3036927,2015-16,2016,2015,New Orleans Pelicans
2480,coleno01,13-Oct-88,"Dayton, Ohio",2.7,40.7,32.4,74.3,360,9.2,7,2,3,44.9,Cleveland State University,28th overall,1st round,Chicago Bulls,2011,2-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Norris Cole,Point Guard,Right,175lb,NBA,coleno01,247991,2016-17,2017,2016,Oklahoma City Thunder
2543,collijo01,23-Sep-97,"Layton, Utah",1.6,56.6,34.6,74.3,135,20.1,14.6,8.4,11.4,59.2,Wake Forest University,19th overall,1st round,Atlanta Hawks,2017,10-Jun,"Cardinal Newman in West Palm Beach, Florida",John Collins,Power Forward,Right,235lb,NBA,collijo01,1936920,2017-18,2018,2017,Atlanta Hawks
2549,colliza01,19-Nov-97,"Las Vegas, Nevada",0.9,44.1,32.1,72,143,10.9,5.6,3.8,3.6,49.6,Gonzaga University,10th overall,1st round,Sacramento Kings,2017,Jul-00,"Bishop Gorman in Las Vegas, Nevada",Zach Collins,Center,Right,235lb,NBA,colliza01,3057240,2017-18,2018,2017,Portland Trail Blazers
2602,connapa01,6-Jan-93,"Arlington, Massachusetts",1.2,43.9,34.9,79.6,216,11,4.6,2.3,6.8,53.3,University of Notre Dame,41st overall,2nd round,Brooklyn Nets,2015,4-Jun,"St. John's Prep in Danvers, Massachusetts",Pat Connaughton,Shooting Guard,Right,209lb,NBA,connapa01,525093,2015-16,2016,2015,Portland Trail Blazers
2603,connapa01,6-Jan-93,"Arlington, Massachusetts",1.2,43.9,34.9,79.6,216,11,4.6,2.3,6.8,53.3,University of Notre Dame,41st overall,2nd round,Brooklyn Nets,2015,4-Jun,"St. John's Prep in Danvers, Massachusetts",Pat Connaughton,Shooting Guard,Right,209lb,NBA,connapa01,874636,2016-17,2017,2016,Portland Trail Blazers
2604,connapa01,6-Jan-93,"Arlington, Massachusetts",1.2,43.9,34.9,79.6,216,11,4.6,2.3,6.8,53.3,University of Notre Dame,41st overall,2nd round,Brooklyn Nets,2015,4-Jun,"St. John's Prep in Danvers, Massachusetts",Pat Connaughton,Shooting Guard,Right,209lb,NBA,connapa01,1471382,2017-18,2018,2017,Portland Trail Blazers
2695,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,3374640,2010-11,2011,2010,Sacramento Kings
2696,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,3627720,2011-12,2012,2011,Sacramento Kings
2697,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,3880800,2012-13,2013,2012,Sacramento Kings
2698,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,4916974,2013-14,2014,2013,Sacramento Kings
2699,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,13701250,2014-15,2015,2014,Sacramento Kings
2700,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,14728844,2015-16,2016,2015,Sacramento Kings
2701,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,16957900,2016-17,2017,2016,New Orleans Pelicans
2702,couside01,13-Aug-90,"Mobile, Alabama",3.2,46.1,33.2,73.7,565,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010,11-Jun,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,NBA,couside01,18063850,2017-18,2018,2017,New Orleans Pelicans
2708,crabbal01,9-Apr-92,"Los Angeles, California",1.2,42.9,39.3,83.5,344,11.1,9.5,2.9,13.8,53.6,University of California,31st overall,2nd round,Cleveland Cavaliers,2013,6-Jun,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,NBA,crabbal01,862000,2014-15,2015,2014,Portland Trail Blazers
2709,crabbal01,9-Apr-92,"Los Angeles, California",1.2,42.9,39.3,83.5,344,11.1,9.5,2.9,13.8,53.6,University of California,31st overall,2nd round,Cleveland Cavaliers,2013,6-Jun,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,NBA,crabbal01,947276,2015-16,2016,2015,Portland Trail Blazers
2710,crabbal01,9-Apr-92,"Los Angeles, California",1.2,42.9,39.3,83.5,344,11.1,9.5,2.9,13.8,53.6,University of California,31st overall,2nd round,Cleveland Cavaliers,2013,6-Jun,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,NBA,crabbal01,18500000,2016-17,2017,2016,Portland Trail Blazers
2711,crabbal01,9-Apr-92,"Los Angeles, California",1.2,42.9,39.3,83.5,344,11.1,9.5,2.9,13.8,53.6,University of California,31st overall,2nd round,Cleveland Cavaliers,2013,6-Jun,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,NBA,crabbal01,19332500,2017-18,2018,2017,Brooklyn Nets
2739,crawfjo02,23-Oct-88,"Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,4-Jun,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,NBA,crawfjo02,1042320,2010-11,2011,2010,Washington Wizards
2740,crawfjo02,23-Oct-88,"Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,4-Jun,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,NBA,crawfjo02,1120440,2011-12,2012,2011,Washington Wizards
2741,crawfjo02,23-Oct-88,"Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,4-Jun,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,NBA,crawfjo02,1198680,2012-13,2013,2012,Boston Celtics
2742,crawfjo02,23-Oct-88,"Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,4-Jun,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,NBA,crawfjo02,2162419,2013-14,2014,2013,Boston Celtics
2743,crawfjo02,23-Oct-88,"Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,4-Jun,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,NBA,crawfjo02,234915,2016-17,2017,2016,New Orleans Pelicans
2744,crawfjo02,23-Oct-88,"Detroit, Michigan",3.1,41.1,31.7,82.6,281,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010,4-Jun,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,NBA,crawfjo02,308190,2017-18,2018,2017,New Orleans Pelicans
2779,crowdja01,6-Jul-90,"Villa Rica, Georgia",1.4,42.3,33.9,77.8,543,13,9.5,3.9,28.7,51.1,Marquette University,34th overall,2nd round,Cleveland Cavaliers,2012,6-Jun,"Villa Rica in Villa Rica, Georgia",Jae Crowder,Small Forward,Right,235lb,NBA,crowdja01,600491,2012-13,2013,2012,Dallas Mavericks
